site_name,site_area,avulsion_start_date,site_lat,site_lon,av_type,reach_ID,y_pred,date,year,month
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,232.04614,2010-04-07,2010.0,4.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,88.8567,2010-07-12,2010.0,7.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,77.58754,2010-08-13,2010.0,8.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,298.91998,2011-03-25,2011.0,3.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,81.79765,2011-05-28,2011.0,5.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,112.45621,2011-10-03,2011.0,10.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,27.302717,2011-10-19,2011.0,10.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,96.7745,2012-04-28,2012.0,4.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,79.94216,2012-09-03,2012.0,9.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,31.999243,2012-09-19,2012.0,9.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,405.73148,2012-10-21,2012.0,10.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,201.3338,2012-12-24,2012.0,12.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,438.8276,2013-02-26,2013.0,2.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,71.429825,2013-05-01,2013.0,5.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,57.517384,2013-05-17,2013.0,5.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,41.80656,2013-10-08,2013.0,10.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,51.96568,2014-01-12,2014.0,1.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,88.871994,2014-02-13,2014.0,2.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,222.6639,2014-03-01,2014.0,3.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,380.29077,2014-04-02,2014.0,4.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,59.18679,2014-07-07,2014.0,7.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,645.9473,2014-11-12,2014.0,11.0
AFR0211.1998,Africa,1998,-12.45042,13.48999,delta,13138000013,374.75928,2014-12-14,2014.0,12.0
