site_name,avulsion_year,p95_zscore,p95_mean,p95_std,p95_avulsion_window,global_mean,global_p95,av_type,site_area
JA.40.NewGuinea.Madang.1989.1989,1989,-0.3894897791262371,443.32472379999984,60.19247630218663,419.8803694999999,247.74463177177572,471.43551999999994,delta,Tropical Island
JA.69.PNG.2004,2004,1.251452875171808,492.4247018444444,81.34673400433016,594.2263059999997,268.3372331558879,525.6484289999999,delta,Tropical Island
JA.69.PNG.2009,2009,1.753946958066692,492.4247018444444,81.34673400433016,635.1025584999996,268.3372331558879,525.6484289999999,delta,Tropical Island
JA.8.India.2004.2004,2004,0.02829789367779953,693.845225233333,167.91600536667232,698.5968945,252.0774828601869,780.0773309999997,fan,Asia
JA.82.DeinNewGuinea.2012,2012,-0.13906757698720193,437.3553447777777,73.36517611662062,427.15262749999994,231.79207045476633,471.2954439999997,delta,Tropical Island
JA.91.Peru.1998,1998,-0.7345177131360214,10.034471953999997,5.077574083375903,6.304903849999999,4.408239991588786,10.338052199999998,delta,South America
JA.95.PNG.1989.1989,1989,0.005984446687590179,463.89657856666656,56.70080310633209,464.23590149999995,263.5233890702056,491.3251029999998,fan,Tropical Island
JAVA12.1985,1985,1.3183791152528674,265.4731538666666,38.22464005254481,315.86772099999996,117.09113549725232,298.68295299999977,delta,Tropical Island
JAVA3.1992,1992,-0.805365501296595,577.0764669888889,90.74466235669387,503.9938464999999,253.79953362254207,623.8811209999999,delta,Tropical Island
JAVA5.1995,1995,1.1940210911135278,442.8409511888889,71.63288483568219,528.3721264999998,192.41378369768225,487.97486299999997,delta,Tropical Island
JAVA5.1998,1998,-0.8277208690519465,442.8409511888889,71.63288483568219,383.5489175,192.41378369768225,487.97486299999997,delta,Tropical Island
JAVA5.2018,2018,0.017650452219135616,442.8409511888889,71.63288483568219,444.10530399999993,192.41378369768225,487.97486299999997,delta,Tropical Island
JAVA6.2010,2010,0.3726748324597596,323.28876739999987,53.75800390857675,343.3230224999998,144.61226965370096,363.8522089999999,delta,Tropical Island
JAVA7.1990,1990,0.915512700056098,345.5475801666665,59.34607988507887,399.8796699999999,141.14204679820563,392.8650399999999,delta,Tropical Island
JAVA7.2010,2010,1.3445373390769688,345.5475801666665,59.34607988507887,425.34060049999965,141.14204679820563,392.8650399999999,delta,Tropical Island
JAVA9.2014,2014,3.050804239510235,355.90548779999983,70.64083739263368,571.4168539999998,156.0130133435327,407.85671499999995,delta,Tropical Island
