site_name,site_lat,site_lon,reach_ID,y_pred,date,year,month
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,121.97185,2000-07-05,2000,7
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,79.18382,2000-08-22,2000,8
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,407.2798,2000-12-28,2000,12
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,191.93356,2001-05-21,2001,5
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,102.814064,2001-06-06,2001,6
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,313.24054,2001-06-22,2001,6
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,155.47307,2001-07-08,2001,7
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,45.96971,2001-08-25,2001,8
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,113.55139,2001-10-28,2001,10
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,52.06821,2001-11-13,2001,11
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,146.27872,2002-05-24,2002,5
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,300.09048,2002-06-25,2002,6
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,141.8238,2002-07-11,2002,7
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,219.28981,2002-08-12,2002,8
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,69.28474,2002-08-28,2002,8
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,25.403023,2002-09-13,2002,9
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,59.486034,2002-11-16,2002,11
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,183.85143,2003-04-25,2003,4
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,104.376015,2003-08-31,2003,8
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,12.946058,2003-10-02,2003,10
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,13.083833,2003-10-18,2003,10
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,302.55707,2003-12-21,2003,12
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,202.85152,2004-02-23,2004,2
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,58.74883,2004-03-10,2004,3
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,88.28087,2004-05-13,2004,5
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,206.7107,2004-05-29,2004,5
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,102.31357,2004-06-14,2004,6
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,227.82764,2004-06-30,2004,6
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,146.78624,2004-08-01,2004,8
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,309.41812,2004-08-17,2004,8
