OBJECTID,Join_Count,TARGET_FID,site_name,avulsion_year,z_p95_q,zlog_p95_q,z_mean_q,zlog_mean_q,z_flood_dur,zlog_flood_dur,av_type,site_area,site_lat,site_lon,country,continent,identity,climate
57,1,57,FIHERENANA.2001,2001,1.652323009,1.055006774,2.374369727,1.344533562,2.286623677,1.066844214,delta,Pacific Islands,-23.30676,43.65592,Madagascar,Africa,3ce5ba5b-b825-baba-7fe0-6fb23e254148,BWh Arid-Desert-Hot
58,1,58,G1,2015,1.027463563,1.000425591,0.138029021,0.278588308,1.087140742,0.973326803,fan,Pacific Islands,-5.726,145.527,Papua New Guinea,Oceania,57912377-9f5b-a79f-281e-5dc891739f56,Af Tropical-Rainforest
59,1,59,G10,2017,2.451155087,1.977978549,3.442397406,3.065052907,3.832385348,1.787264807,fan,Pacific Islands,-3.3535,138.7594,Indonesia,Asia,57912377-9f5b-a79f-281e-5dc891739f56,Af Tropical-Rainforest
60,1,60,G11,2008,0.696285903,0.747505978,0.530038297,0.674824423,0.723542275,0.914617994,fan,Pacific Islands,-6.5762,146.6991,Papua New Guinea,Oceania,57912377-9f5b-a79f-281e-5dc891739f56,Af Tropical-Rainforest
61,1,61,G12,2010,0.867888137,0.869022108,0.67477976,0.772538255,0.300735232,0.581647215,fan,Pacific Islands,-6.6624,147.0569,Papua New Guinea,Oceania,57912377-9f5b-a79f-281e-5dc891739f56,Af Tropical-Rainforest
62,1,62,G13,2008,1.031638721,0.991081654,1.119069481,1.052037223,1.107415484,1.043487058,fan,Pacific Islands,-6.6953,147.2111,Papua New Guinea,Oceania,57912377-9f5b-a79f-281e-5dc891739f56,Af Tropical-Rainforest
63,1,63,G14,2004,-0.332954127,-0.208229335,-0.414367869,-0.27414496,-0.460890881,-0.083887646,fan,Pacific Islands,-6.6931,147.33,Papua New Guinea,Oceania,57912377-9f5b-a79f-281e-5dc891739f56,Af Tropical-Rainforest
64,1,64,G15,2003,0.674205509,0.740267592,0.016493692,0.150346395,0.235112016,0.451268018,fan,Pacific Islands,-7.5774,147.2359,Papua New Guinea,Oceania,57912377-9f5b-a79f-281e-5dc891739f56,Af Tropical-Rainforest
65,1,65,G16,1994,0.132933105,0.220795925,-0.117563788,-0.000739294,0.34006067,0.473884065,fan,Pacific Islands,-7.671,147.4265,Papua New Guinea,Oceania,57912377-9f5b-a79f-281e-5dc891739f56,Af Tropical-Rainforest
66,1,66,G17,2016,0.239369428,0.318150735,0.478395483,0.583039266,0.392143587,0.516086055,delta,Pacific Islands,-9.079,149.0407,Papua New Guinea,Oceania,57912377-9f5b-a79f-281e-5dc891739f56,Af Tropical-Rainforest
