site_name,avulsion_year,av_type,site_area,year,z_p95_q,zlog_p95_q,z_mean_q,zlog_mean_q,z_flood_dur,zlog_flood_dur
R42,2004,retrogradational,Tropical Island,1986.0,-0.621778315753824,-0.6158698050202059,-1.1238744833037764,-1.2100497621332882,-0.586857394897119,-0.3165927231983675
R42,2004,retrogradational,Tropical Island,1987.0,-0.6007925199422366,-0.5912035365422771,-0.7474043636325033,-0.7499155832843796,-0.5550876712635907,-0.26349113272928903
R42,2004,retrogradational,Tropical Island,1988.0,-0.21101754514856902,-0.14938104386215142,-0.28665171775924825,-0.2279396131720458,-0.30092988219536476,0.08163085135210227
R42,2004,retrogradational,Tropical Island,1989.0,-0.5302368271274163,-0.5089568611348675,-0.20371632910926638,-0.1382959009104066,-0.5233179476300625,-0.2131139273100969
R42,2004,retrogradational,Tropical Island,1990.0,-0.7838754971950531,-0.8096324887356524,-0.3214806508821268,-0.26595903006201516,-0.7774757366982885,-0.7148162977488369
R42,2004,retrogradational,Tropical Island,1991.0,-0.7473312665576328,-0.765439848793125,-1.0184672366223815,-1.0778866696626843,-0.841015183965345,-0.8938816244864621
R42,2004,retrogradational,Tropical Island,1992.0,0.20869837108318295,0.2948843469140451,-0.14639389535411926,-0.07705452356954934,-0.046772093127138786,0.3365072237830623
R42,2004,retrogradational,Tropical Island,1993.0,-0.5570118079904767,-0.5400454202829705,-0.7318489142783986,-0.7315891577133917,-0.5550876712635907,-0.26349113272928903
R42,2004,retrogradational,Tropical Island,1994.0,-0.8866335318586884,-0.9355398559252411,-0.7315263359761024,-0.7312096653776239,-0.8092454603318168,-0.8002736672695834
R42,2004,retrogradational,Tropical Island,1995.0,0.5085600655461695,0.5945795940657206,0.44151433767014525,0.5197123251874644,0.8427801686116522,0.9137961250711574
R42,2004,retrogradational,Tropical Island,1996.0,-0.8523507016320003,-0.8932607788682492,-0.989002640258606,-1.041420471822254,-0.7457060130647603,-0.6362031383695326
R42,2004,retrogradational,Tropical Island,1997.0,-0.6981231936201173,-0.7064059437843658,-1.5667831127988643,-1.796906870266059,-0.6503968421641755,-0.432272175122941
R42,2004,retrogradational,Tropical Island,1998.0,2.5389357524254215,2.3242221625955164,0.5899721007344704,0.6620920876643601,0.8110104449781239,0.8980815469296823
R42,2004,retrogradational,Tropical Island,1999.0,-0.0057728438705838235,0.0716819777403695,-0.7817600209706672,-0.7905759812218984,-0.1738509876612518,0.21731384975331666
R42,2004,retrogradational,Tropical Island,2000.0,-1.4516218104758272,-1.6753260795656357,-1.3243749952355013,-1.469144495647229,-1.0951729730335709,-2.4745752666520375
R42,2004,retrogradational,Tropical Island,2001.0,0.18581299892658162,0.2714310708249773,0.027456447307898223,0.10521519516104079,0.2073856959410872,0.5386827974994202
R42,2004,retrogradational,Tropical Island,2002.0,-0.6036871124679735,-0.5946001934918993,-0.8166996924603203,-0.832191191901671,-0.586857394897119,-0.3165927231983675
R42,2004,retrogradational,Tropical Island,2003.0,0.17966198980939116,0.2651128972463434,-0.07718124991170458,-0.003873939285405517,-0.14208126402772353,0.24849552205342462
R42,2004,retrogradational,Tropical Island,2004.0,-0.8347117784282952,-0.8716148855073123,-0.9282187114862102,-0.966835438010848,-0.841015183965345,-0.8938816244864621
R42,2004,retrogradational,Tropical Island,2005.0,-0.12164702986238823,-0.052192757847242296,0.3453922872283828,0.4258267449319789,-0.015002369493610536,0.36417497397799814
R42,2004,retrogradational,Tropical Island,2006.0,0.13696675005478207,0.22108642546138998,0.3308340911116985,0.411487787826081,0.3344645904752002,0.6260416974896946
R42,2004,retrogradational,Tropical Island,2007.0,0.149087856256303,0.2336159561080532,0.5784899972126527,0.6511911205384279,0.17561597230755896,0.515572550520688
