site_name,avulsion_year,z_p95_q,zlog_p95_q,z_mean_q,zlog_mean_q,z_flood_dur,zlog_flood_dur,av_type,site_area
G10,2017,2.4511550868587526,1.977978548994645,3.4423974064310023,3.065052907277073,3.8323853483789265,1.787264807020746,fan,Pacific Islands
G11,2008,0.6962859030494296,0.7475059775357847,0.5300382973564582,0.6748244226297223,0.7235422751682336,0.9146179936421703,fan,Pacific Islands
G12,2010,0.8678881371165245,0.8690221082550669,0.6747797597434801,0.7725382551916249,0.3007352318680515,0.5816472146880086,fan,Pacific Islands
G13,2008,1.0316387214058573,0.9910816536868121,1.1190694813522095,1.0520372226133359,1.1074154837848884,1.0434870584055642,fan,Pacific Islands
G14,2004,-0.332954127,-0.208229335,-0.414367869,-0.27414496,-0.460890881,-0.083887646,fan,Pacific Islands
G15,2003,0.6742055094176486,0.740267592,0.016493692,0.15034639538331723,0.2351120155304096,0.451268018,fan,Pacific Islands
G16,1994,0.13293310536193795,0.22079592476141127,-0.117563788,-0.000739294,0.3400606699351821,0.4738840649250102,fan,Pacific Islands
G17,2016,0.23936942816867443,0.31815073518472303,0.4783954829994129,0.5830392655393343,0.392143587,0.5160860552237935,delta,Pacific Islands
G18,1995,-0.365024997,-0.320624211,0.6075146301140241,0.6785374425296814,0.023065105715696557,0.26048371223942035,fan,Pacific Islands
G19,2015,-0.539990865,-0.484598817,-0.066792293,0.013557561,-0.685620988,-0.291079185,fan,Pacific Islands
G2,2013,1.2747009166525547,1.175041134911755,1.1798001044786037,1.121809498059901,1.151829095938401,0.9258695771251817,fan,Pacific Islands
G20,2008,1.1941030018971721,1.1171719382066214,1.1409954530838655,1.0466144173408054,1.5015227117885745,1.0160152312271757,intra-lobe,Pacific Islands
G21,1995,0.37137727146211746,0.42126163398677735,0.46083621712358563,0.5097198422559822,0.3067380913315732,0.5663879139732233,fan,Pacific Islands
G22,1998,0.7268947185145622,0.7097745696179089,1.375407550671626,1.2128093919719636,1.8160531812586982,1.193434674,intra-lobe,Pacific Islands
G23,2005,-0.073071021,0.014582205092532215,-0.097369451,-0.024552911,-0.416966282,0.034424889, fan,Pacific Islands
G24,2013,0.6270607293522333,0.5584324008492297,0.7562827909932092,0.7399822433658184,0.714257484,0.7125438060595753,fan,Pacific Islands
G25.1,1999,0.7733520438219555,0.5766575204157253,0.4321555254600238,0.4637127368184146,0.674471074,0.4860600291745265,fan,Pacific Islands
G25.2,2007,0.617972552,0.4826459078987626,0.7123907713271004,0.7135462114099953,0.674471074,0.4860600291745265,fan,Pacific Islands
G26,1998,2.1941196170525226,1.673286555809948,1.8192032156166844,1.5438898870742175,1.875409869696424,1.175436031023842,intra-lobe,Pacific Islands
G3,1999,-0.102821392,-0.016813313,-0.384209396,-0.2995892,-0.398550311,-0.043965274,fan,Pacific Islands
G4,1998,0.8173007269212776,0.875955377,-0.384209396,-0.2995892,-0.064355149,0.2618741468647391,fan,Pacific Islands
G5,1997,-0.303985604,-0.056995634,0.36488773503357325,0.408791988,-0.560989865,-0.213104503,fan,Pacific Islands
