site_name,site_area,avulsion_start_date,site_lat,site_lon,av_type,source,country,brooke_width_m,width_m,width_m_note
R35.2,South America,1990,-16.4428,-65.7126,retrogradational,edmonds et al 2022,Bolivia,,19,average channel width upstream of avulsion site
R36,South America,1984,-7.5991,-75.4381,retrogradational,edmonds et al 2022,Bolivia,,36,average channel width upstream of avulsion site
R37,South America,1984,-7.4998,-75.2996,retrogradational,edmonds et al 2022,Bolivia,,36,average channel width upstream of avulsion site
R41,Tropical Island,1989,-4.6912,137.2953,retrogradational,edmonds et al 2022,Bolivia,,32,average channel width upstream of avulsion site
R42,Tropical Island,2004,-3.884,141.9648,retrogradational,edmonds et al 2022,Peru,,29,average channel width upstream of avulsion site
R43,Tropical Island,1992,-4.1237,142.2188,retrogradational,edmonds et al 2022,Peru,,22,average channel width upstream of avulsion site
R44,Tropical Island,1989,-4.1232,142.3248,retrogradational,edmonds et al 2022,Papua New Guinea,,21,average channel width upstream of avulsion site
R45,Tropical Island,1987,-5.5959,145.3963,retrogradational,edmonds et al 2022,Papua New Guinea,,35,average channel width upstream of avulsion site
R46,South America,1993,-14.4708,-66.3524,retrogradational,edmonds et al 2022,Papua New Guinea,,39,average channel width upstream of avulsion site
R48,South America,2002,-11.864,-71.385,retrogradational,edmonds et al 2022,Papua New Guinea,,28,average channel width upstream of avulsion site
R49,South America,2000,-12.2393,-70.9148,retrogradational,edmonds et al 2022,Papua New Guinea,,13,average channel width upstream of avulsion site
